All,Acronym,Meaning,Definition
"Albatross refers to activities of the NOAA vessel Albatross IV 11, 13, 23, 30, 51",,Albatross,Activities of the NOAA vessel Albatross IV
"Albatross IV Research vessel NOAAS Albatross IV, in service until November 2008 iv, 64",,Albatross,"Research vessel NOAAS Albatross IV, in service until November 2008"
"AOP Assessment Oversight Panel 1, 3, 4, 10, 11, 13–19, 24, 36, 50, 61",AOP,Assessment Oversight Panel,
"ASAP Age-Structured Assessment Program 11, 13, 24, 31, 33, 34, 36, 38, 45, 50, 53, 55",ASAP,Age-Structured Assessment Program,
"ASMFC Atlantic States Marine Fisheries Commission 7, 8, 16, 17",ASMFC,Atlantic States Marine Fisheries Commission,
"Bigelow refers to activities of the NOAA vessel Henry B. Bigelow 11, 13, 14, 24, 30, 47, 51",,Bigelow,Activities of the NOAA vessel Henry B. Bigelow
BTS bottom trawl survey 47,BTS,Bottom trawl survey,
"CAMS Catch Accounting and Monitoring System 1, 3, 9, 11, 13, 15, 24, 33, 36, 37",CAMS,Catch Accounting and Monitoring System,
CIE Center for Independent Experts 11,CIE,Center for Independent Experts,
CJFAS Canadian Journal of Fisheries and Aquatic Sciences 39,CJFAS,Canadian Journal of Fisheries and Aquatic Sciences,
"CLF Conservation Law Foundation 7, 8",CLF,Conservation Law Foundation,
CRD Center Reference Document LXXIX,CRD,Center Reference Document,
CSE Council of Science Editors LXXIX,CSE,Council of Science Editors,
CT LISTS Connecticut Long Island Sound Trawl Survey 44,CT LISTS,Connecticut Long Island Sound Trawl Survey,
"DFO Department of Fisheries and Oceans, Canadian 51, 54",DFO,"Department of Fisheries and Oceans, Canadian",
DMF Division of Marine Fisheries 8,DMF,Division of Marine Fisheries,
DMIS Database 13,DMIS,Database,
F/V fishing vessel 64,F/V,Fishing vessel,
"GARFO Greater Atlantic Regional Fisheries Office 7, 8, 16, 17",GARFO,Greater Atlantic Regional Fisheries Office,
"Henry B. Bigelow NOAA research vessel Henry B. Bigelow, with specialised trawling net mechanisms; commissioned July 2007, used for surveys 2009–2019 iv, 49, 64, 65",,Henry B. Bigelow,"NOAA research vessel Henry B. Bigelow, with specialised trawling net mechanisms; commissioned July 2007, used for surveys 2009–2019"
"MA DMF Massachusetts Division of Marine Fisheries 7, 8, 44",MA,Massachusetts Division of Marine Fisheries,
"MAFMC Mid-Atlantic Fisheries Management Council 7, 10, 14, 16, 17",MAFMC,Mid-Atlantic Fisheries Management Council,
"ME DMR Maine Department of Marine Resources 7, 8",ME,DMR Maine Department of Marine Resources,
MRIP Marine Recreational Information Program 31,MRIP,Marine Recreational Information Program,
NAFO Northwest Atlantic Fisheries Organization viii,NAFO,Northwest Atlantic Fisheries Organization viii,
NCDMF North Carolina Division of Marine Fisheries 7,NCDMF,North Carolina Division of Marine Fisheries,
"NEAMAP Northeast Area Monitoring and Assessment Program 11, 14, 15, 24, 30, 36, 38",NEAMAP,Northeast Area Monitoring and Assessment Program,
"NEFMC New England Fisheries Management Council 5, 7, 8, 10, 16, 17, 53",NEFMC,New England Fisheries Management Council,
"NEFSC Northeast Fisheries Science Centre III, v, 1, 3, 4, 7, 8, 11, 13–17, 24, 30, 31, 33, 34, 36, 38, 39, 44, 47, 48,",NEFSC,Northeast Fisheries Science Centre,
"NMFS National Marine Fisheries Service 47–49, LXXVIII",NMFS,National Marine Fisheries Service,
"NOAA National Oceanographic and Atmospheric Administration iv–vi, 1, 3, 8, 49, 51, 65, LXXVIII",NOAA,National Oceanographic and Atmospheric Administration,
NOAAS NOAA ship iv,NOAAS,NOAA ship,
"NRCC Northeast Regional Coordinating Council 6, 10",NRCC,Northeast Regional Coordinating Council,
PopDy Population Dynamics Branch of NEFSC 9,PopDy,Population Dynamics Branch of NEFSC,
"QUEST Quantitative Ecology and Socioeconomics Training, NOAA program 8",QUEST,"Quantitative Ecology and Socioeconomics Training, NOAA program",
RI DFW Rhode Island Department of Fish and Wildlife 44,RI DFW,Rhode Island Department of Fish and Wildlife,
"RTA Research Track Assessment 61, 62",RTA,Research Track Assessment,
"R/V research vessel 13, 47, 51, 64",R/V,Research vessel,
"SAS Statistical Analysis Software application viii, 24",SAS,Statistical Analysis Software application viii,
"SAW Stock Assessment Workshop 11, 39, 55",SAW,Stock Assessment Workshop,
"SMAST School for Marine Science and Technology (New Bedford, Maine) 7, 16",SMAST,"School for Marine Science and Technology (New Bedford, Maine)",
"SSC Scientific and Statistical Committee 3–6, 10, 11, 14, 38, 54",SSC,Scientific and Statistical Committee,
SUNY State University of New York 39,SUNY,State University of New York,
"TOR Term of Reference 37, 38, 50, 51, 53, 54",TOR,Term of Reference,
URI Graduate School of Oceanography 13,URI,Graduate School of Oceanography,
USFWS US Fish and Wildlife Service. 49,USFWS,US Fish and Wildlife Service,
"WHAM Woods Hole Assessment Model 14, 22, 23, 34, 35",WHAM,Woods Hole Assessment Model,
"WHOI Woods Hole Oceanographic Institute, MA vi, 65",WHOI,"Woods Hole Oceanographic Institute, MA",
,,,
"AA Annual Allocation 15, 24, 33, 37",AA,Annual Allocation,
ABC acceptable biological catch 11,ABC,acceptable biological catch,
ACL annual catch limit 32,ACL,annual catch limit,
"ALK age-length-key 51, 54",ALK,age-length-key,
"AR Autoregressive: an autoregressive model specifies that the output variable depends linearly on its own previous value(s) and a stochastic term 11, 46–48",AR,Autoregressive,An autoregressive model specifies that the output variable depends linearly on its own previous value(s) and a stochastic term
arima R package for time series forecasting 46,,arima,R package for time series forecasting
B50%SPR biomass at 50% of spawning potential rate 22,,B50%SPR,biomass at 50% of spawning potential rate
"BMSY proxy proxy estimate for biomass maximum sustainable yield 22, 61",,BMSY proxy,Proxy estimate for biomass maximum sustainable yield
"BRP biological reference point 4, 5, 11, 15, 18, 20, 34, 38, 45, 48, 53",BRP,biological reference point,
CDF cumulative distribution function 13,CDF,cumulative distribution function,
"CI confidence interval 31–33, 46",CI,confidence interval,
"Covid refers to coronavirus pandemic years, 2020–2021 11, 24",Covid,refers to coronavirus pandemic years,
"changepoint R package for ChangePoint analysis 45, 55",,changepoint,R package for ChangePoint analysis
"CV coefficient of variation 23, 52",CV,coefficient of variation,
"F (instantaneous) fishing mortality rate 1, 2, 5, 23, 32, 33, 36, 38, 45, 47, 50, 53, 61",,F,(instantaneous) fishing mortality rate
"F¯7:8 average fishing mortality for fish aged 7 to 8 years 45–47, 57",,F¯7:8,average fishing mortality for fish aged 7 to 8 years
"FFull fishing mortality on fully selected ages 22, 23, 27, 31–33, 41, 62",,FFull,fishing mortality on fully selected ages
F50%SPR fishing mortality for 50% of spawning potential rate 22,,F50%SPR,fishing mortality for 50% of spawning potential rate
"FMSY fishing mortality for maximum sustainable yield 31, 41",,FMSY,fishing mortality for maximum sustainable yield
"FMSY proxy proxy estimate of fishing rate for maximum sustainable yield 1, 2, 22, 23, 27, 31, 32, 36, 45, 46,",,FMSY proxy,Proxy estimate of fishing rate for maximum sustainable yield
"FThreshold threshold fishing mortality level that indicates overfishing status 27, 41, 57",,FThreshold,threshold fishing mortality level that indicates overfishing status
"F40% fishing rate at 40% of the total catch 1, 2, 31, 36, 38, 46, 50, 54",,F40%,fishing rate at 40% of the total catch
Int International landings 61,Int,International landings,
kg/tow kilograms per tow 64,kg/tow,kilograms per tow,
"Loess loess curve fitting (local polynomial regression) viii, 11, 15",,Loess,loess curve fitting (local polynomial regression)
"log-normal probability distribution whose logarithm is normally distributed 25, 27, 28, 30, 39, 41, 42, 44,",,log-normal,probability distribution whose logarithm is normally distributed
"M (instantaneous) natural mortality rate 2, 7, 19, 20, 24, 36, 50, 53",M,(instantaneous) natural mortality rate,
"? Mohn's rho parameter: the average relative bias of retrospective estimates 5, 23, 33, 45",?,Mohn's rho parameter,The average relative bias of retrospective estimates
"MSY maximum sustainable yield 22, 31, 38, 46, 61",MSY,maximum sustainable yield,
"mt metric ton 1, 2, 14, 22, 23, 31, 32, 35–38, 45–47, 50, 54, 61, 63",mt,metric ton,
NA not applicable 61,NA,not applicable,
"PlanBsmooth 'Plan B' model using log-linear regression and Loess smoothing 11, 14, 15",PlanBsmooth,Plan B' model using log-linear regression and Loess smoothing,
"q catchability coefficient 23, 36",q,catchability coefficient,
"QA/QC quality assurance and quality control 4, 11",QA/QC,quality assurance and quality control,
R expected recruitment numbers 55,,R,expected recruitment numbers
"R/S recruits-per-spawner 54, 55",R/S,recruits-per-spawner,
"R programming environment for statistical processing and presentation vii, 46, 55",R,,programming environment for statistical processing and presentation
"SA Subarea as specified by NAFO 61, 63",SA,Subarea as specified by NAFO,
SPR spawning potential ratio 38,SPR,spawning potential ratio,
"SSB spawning stock biomass 1, 2, 5, 22, 23, 31–36, 39, 45, 47, 50, 55, 62",SSB,spawning stock biomass,
"SSBMSY spawning stock biomass consistent with maximum sustainable yield 13, 31, 34, 36, 37, 46, 50, 55",SSBMSY,spawning stock biomass consistent with maximum sustainable yield,
"SSBMSY proxy proxy value for spawning stock biomass estimation for maximum sustainable yield 22,",SSBMSY proxy,proxy value for spawning stock biomass estimation for maximum sustainable yield,
"SSBproxy proxy value for spawning stock biomass estimate 1, 50, 54",SSBproxy,proxy value for spawning stock biomass estimate,
"SSBTarget theoretically ideal spawning stock biomass level 25, 39, 56",SSBTarget,theoretically ideal spawning stock biomass level,
"SSBThreshold threshold for spawning stock biomass that indicates overfished status 25, 31, 39, 56",SSBThreshold,threshold for spawning stock biomass that indicates overfished status,
SURVEYMEANS SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample. 24,SURVEYMEANS,SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample,
TAC total allowable catch 63,TAC,total allowable catch,
"VPA virtual population analysis 11, 13, 34",VPA,virtual population analysis,
"YoY young of the year or age 0 24, 30, 44",YoY,young of the year or age,
,,,
,,,
CA Canada ix,CA,Canada,
CC Connecticut ix,CC,Connecticut,
"GB Georges Bank ix, 36",GB,Georges Bank,
"GOM Gulf of Maine ix, 36, 37",GOM,Gulf of Maine,
"MA Massachusetts III, v, vi, ix, 39, 65",MA,Massachusetts,
MAB Mid-Atlantic Bight ix,MAB,Mid-Atlantic Bight,
MD Maryland 1,MD,Maryland,
"ME Maine ix, 16",ME,Maine,
NC North Carolina 8,NC,North Carolina,
NH New Hampshire ix,NH,New Hampshire,
"NJ New Jersey ix, 1, 44",NJ,New Jersey,
"NY New York ix, 1",NY,New York,
RI Rhode Island ix,RI,Rhode Island,
SNE Southern New England ix,SNE,Southern New England,
"SNEMA Southern New England and Mid-Atlantic Bight 2, 9, 11, 13, 34, 36, 37",SNEMA,Southern New England and Mid-Atlantic Bight,
"US United States 39, 45, 46, 48, 50, 55, 59",US,United States,
VA Virginia 1,VA,Virginia,
VT Vermont,VT,Vermont,
